200 Motels|1971|Tony Palmer
2001: A Space Odyssey|1968|Stanley Kubrick
Betty Blue|1986|Jean-Jacques Beineix
42nd Street|1933|Lloyd Bacon
The 7th Voyage of Sinbad|1958|Nathan Juran
9 Songs|2004|Michael Winterbottom
300|2006|Zack Snyder
À Bout de Souffle|1960|Jean-Luc Godard
À Meia-Noite Levarei Sua Alma|1964|José Mojica Marins
Abbott and Costello Meet Frankenstein|1948|Charles Barton
Die Abfahrer|1978|Adolf Winkelmann
The Abominable Dr. Phibes|1971|Robert Fuest
Ace Ventura: Pet Detective|1994|Tom Shadyac
The Addiction|1995|Abel Ferrara
Adieu Léonard|1943|Pierre Prévert
The Adventures of Baron Munchausen|1989|Terry Gilliam
The Adventures of Buckaroo Banzai Across the 8th Dimension|1984|W. D. Richter
The Adventures of Priscilla, Queen of the Desert|1994|Stephan Elliott
L'Affaire est dans le Sac|1932|Pierre Prévert and Jacques Prévert
After Hours|1985|Martin Scorsese
Agneepath|1990|Mukul Anand
Aguirre, der Zorn Gottes|1972|Werner Herzog
Ai no Korīda / L'Empire des Sens|1976|Nagisa Oshima
Akira|1988|Katsuhiro Otomo
Alice in Wonderland: An X-Rated Musical Fantasy|1976|Bud Townsend
Alice's Restaurant|1969|Arthur Penn
Allegro Non Troppo|1976|Bruno Bozzetto
Alphaville|1965|Jean-Luc Godard
Altered States|1980|Ken Russell
Alucarda|1977|Juan López Moctezuma
Alvin Purple|1973|Tim Burstall
Les Amants du Pont Neuf|1991|Leos Carax
Amazon Women on the Moon|1987|Joe Dante, Carl Gottlieb, Peter Horton, John Landis and Robert K. Weiss
Amsterdamned|1988|Dick Maas
An American Hippie in Israel|1972|Amos Sefer
American History X|1998|Tony Kaye
American Movie|1999|Chris Smith
American Psycho|2000|Mary Harron
American Splendor|2003|Shari Springer Berman and Robert Pulcini
L'An 01|1973|Jacques Doillon, Alain Resnais and Jean Rouch
An American Werewolf in London|1981|John Landis
Der Amerikanische Freund|1977|Wim Wenders
The Amityville Horror|1979|Stuart Rosenberg
Amores Perros|2000|Alejandro González Iñárritu
Anaconda|1997|Luis Llosa
Anbe Sivam|2003|Sundar C.
Anchorman: The Legend of Ron Burgundy|2004|Adam McKay
And Now For Something Completely Different|1971|Ian MacNaughton
Andaz Apna Apna|1994|Rajkumar Santoshi
Andy Warhol's Bad|1977|Jed Johnson
Andy Warhol's Dracula|1974|Paul Morrissey
Andy Warhol's Frankenstein|1973|Paul Morrissey
Andy Warhol's Trash|1970|Paul Morrissey
Angel Heart|1987|Alan Parker
The Angry Red Planet|1959|Ib Melchior
Angst|1983|Gerald Kargl
L'Année Dernière à Marienbad|1961|Alain Resnais
Antichrist|2009|Lars von Trier
Antropophagus|1980|Joe D'Amato
Any Way the Wind Blows|2003|Tom Barman
The Apple|1980|Menahem Golan
Army of Darkness|1992|Sam Raimi
Arrebato|1980|Iván Zulueta
Arthur Christmas|2011|Sarah Smith
Ascenseur pour l'Echafaud|1958|Louis Malle
Assa|1987|Sergei Solovyov
Assault on Precinct 13|1976|John Carpenter
Atlantis: The Lost Empire|2001|Gary Trousdale and Kirk Wise
The Atomic Submarine|1959|Spencer Gordon Bennet
Attack of the 50 Foot Woman|1958|Nathan H. Juran
Attack of the Crab Monsters|1957|Roger Corman
Attack of the Giant Leeches|1959|Bernard L. Kowalski
Attack of the Killer Tomatoes|1978|John DeBello
Attack the Block|2011|Joe Cornish
L'Auberge Espagnole|2002|Cédric Klapisch
Audition|1999|Takashi Miike
Les Aventures de Rabbi Jacob|1973|Gérard Oury
Babe: Pig in the City|1998|George Miller
Babo 73|1964|Robert Downey Sr.
The Baby|1973|Ted Post
Baby Love|1968|Alastair Reid
Baby Snakes|1979|Frank Zappa
Il Bacio di Tosca|1984|Daniel Schmid
Bad Boy Bubby|1993|Rolf de Heer
Bad Day at Black Rock|1955|John Sturges
Bad Girls Go to Hell|1965|Doris Wishman
Bad Lieutenant|1992|Abel Ferrara
Bad Lieutenant: Port of Call New Orleans|2009|Werner Herzog
Bad Santa|2003|Terry Zwigoff
The Bad Seed|1956|Mervyn LeRoy
Bad Taste|1987|Peter Jackson
Badlands|1973|Terrence Malick
Bagdad Cafe|1987|Percy Adlon
Baise-moi|2000|Virginie Despentes and Coralie Trinh Thi
La Balance|1982|Bob Swaim
The Ballad of Little Jo|1993|Maggie Greenwald
Bambi Meets Godzilla|1969|Marv Newland
Bananas|1971|Woody Allen
Bande à part|1964|Jean-Luc Godard
Bandit Queen|1994|Shekhar Kapur
Bang Boom Bang|1999|Peter Thorwarth
The Bank Dick|1940|Edward F. Cline
Vampire Hunter D|1985|Toyoo Ashida
Banzaï|1983|Claude Zidi
Barbarella|1968|Roger Vadim
El Barón del Terror|1962|Chano Ureata
Les Barons|2009|Nabil Ben Yadir
Barton Fink|1991|The Coen Brothers
BASEketball|1998|David Zucker
Basket Case|1982|Frank Henenlotter
Battlefield Earth|2000|Roger Christian
Battle Royale|2000|Kinji Fukasaku
Beach Blanket Bingo|1965|William Asher
Beast from Haunted Cave|1959|Monte Hellman
The Beast from 20,000 Fathoms|1953|Eugène Lourié
The Beastmaster|1982|Don Coscarelli
Beat the Devil|1953|John Huston
Beau Travail|1999|Claire Denis
Beautiful Thing|1996|Hettie MacDonald
Beavis and Butt-head Do America|1996|Mike Judge
Bedazzled|1967|Stanley Donen
Bedtime for Bonzo|1951|Frederick de Cordova
Bee Movie|2007|Simon J. Smith and Steve Hickner
Beetlejuice|1988|Tim Burton
Begotten|1990|E. Elias Merhige
Behind the Green Door|1972|Artie Mitchell & Jim Mitchell
Behind the Mask: The Rise of Leslie Vernon|2006|Scott Glosserman
Being John Malkovich|1999|Spike Jonze
Belle de Jour|1967|Luis Buñuel
Benny & Joon|1993|Jeremiah S. Chechik
Best in Show|2000|Christopher Guest
The Best of Everything|1959|Jean Negulesco
Best Worst Movie|2009|Michael Stephenson
Better Off Dead|1985|Savage Steve Holland
Der bewegte Mann|1994|Sönke Wortmann
Beyond the Darkness|1979|Joe D'Amato
Beyond the Valley of the Dolls|1970|Russ Meyer
The BFG|1987|Brian Cosgrove
Big Bad Mama|1974|Roger Corman
The Big Chill|1983|Lawrence Kasdan
The Big Combo|1955|Joseph H. Lewis
Big Fan|2009|Robert D. Siegel
Big Fun In The Big Town|1986|Bram van Splunteren
The Big Heat|1953|Fritz Lang
The Big Lebowski|1998|The Coen Brothers
Big Meat Eater|1982|Chris Windsor
The Big Snit|1985|Richard Condie
Big Trouble in Little China|1986|John Carpenter
Big Wednesday|1978|John Milius
Bill & Ted's Excellent Adventure|1989|Stephen Herek
Billy Jack|1971|Tom Laughlin
Billy Madison|1995|Tamra Davis
Birdemic: Shock and Terror|2010|James Nguyen
Black Belt Jones|1974|Robert Clouse
The Black Cat|1934|Edgar G. Ulmer
The Black Cauldron|1985|Ted Berman and Richard Rich
Black Christmas|1974|Bob Clark
Black Dynamite|2009|Scott Sanders
The Black Hole|1979|Gary Nelson
Black Moon|1975|Louis Malle
Blackboard Jungle|1955|Richard Brooks
Blacula|1972|William Crain
Blade Runner|1982|Ridley Scott
The Blair Witch Project|1999|Daniel Myrick and Eduardo Sánchez
Blank Generation|1980|Ulli Lommel
Blazing Saddles|1974|Mel Brooks
Die Blechtrommel|1979|Volker Schlöndorff
Blindman|1971|Ferdinando Baldi
The Blob|1958|Irvin S. Yeaworth, Jr.
Blonde Venus|1932|Josef von Sternberg
Blood & Chocolate|2007|Katja von Garnier
The Blood Beast Terror|1968|Vernon Sewell
Blood Feast|1963|Herschell Gordon Lewis
Blood In Blood Out|1993|Taylor Hackford
Blood Money|1933|Rowland Brown
Blood Simple|1983|The Coen Brothers
Bloodfist|1989|Terence H. Winkless
Bloodrayne|2005|Uwe Boll
Bloodsport|1988|Newt Arnold
Blowup|1966|Michelangelo Antonioni
The Blues Brothers|1980|John Landis
Blue Sunshine|1977|Jeff Lieberman
Blue Velvet|1986|David Lynch
BMX Bandits|1983|Brian Trenchard-Smith
Body Double|1984|Brian De Palma
Body Heat|1981|Lawrence Kasdan
Le Bonheur est dans le Pré|1995|Étienne Chatiliez
The Boondock Saints|1999|Troy Duffy
The Boondock Saints II: All Saints Day|2009|Troy Duffy
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan|2006|Larry Charles
Born in Flames|1983|Lizzie Borden
Bottle Rocket|1996|Wes Anderson
Bound|1996|The Wachowskis
Boxing Helena|1993|Jennifer Chambers Lynch
The Boy with Green Hair|1948|Joseph Losey
A Boy and His Dog|1975|L. Q. Jones
The Boys Next Door|1985|Penelope Spheeris
Boyz n the Hood|1991|John Singleton
The Brain That Wouldn't Die|1962|Joseph Green
Braindead|1992|Peter Jackson
Brat|1997|Aleksei Balabanov
Brand upon the Brain!|2006|Guy Maddin
The Brave Little Toaster|1987|Jerry Rees
Brazil|1985|Terry Gilliam
Breakdown|1997|Jonathan Mostow
Breakin'|1984|Joel Silberg
Breaking Glass|1980|Brian Gibson
Brick|2005|Rian Johnson
Bride of Frankenstein|1935|James Whale
Bride of the Monster|1955|Ed Wood
Brilliantovaya ruka|1969|Leonid Gaidai
Bring Me the Head of Alfredo Garcia|1974|Sam Peckinpah
Britannia Hospital|1982|Lindsay Anderson
The Brood|1979|David Cronenberg
The Brother from Another Planet|1984|John Sayles
The Brown Bunny|2003|Vincent Gallo
Bubba Ho-Tep|2002|Don Coscarelli
Die Büchse der Pandora|1929|Georg Wilhelm Pabst
A Bucket of Blood|1959|Roger Corman
Buffalo '66|1998|Vincent Gallo
Buffet Froid|1979|Bertrand Blier
Bug|2006|William Friedkin
The 'Burbs|1989|Joe Dante
The Burning|1981|Tony Maylam
Burroughs: The Movie|1983|Howard Brookner
Bye Bye Braverman|1968|Sidney Lumet
C'est Arrivé Près De Chez Vous|1992|Rémy Belvaux, André Bonzel and Benoît Poelvoorde
Cabin Boy|1994|Adam Resnick
The Cabinet of Dr. Caligari|1920|Robert Wiene
The Cable Guy|1996|Ben Stiller
Caddyshack|1980|Harold Ramis
Café Flesh|1982|Stephen Sayadian
La Cage aux Folles|1978|Édouard Molinaro
Caged Heat|1974|Jonathan Demme
Caligula|1979|Tinto Brass
Calvaire|2005|Fabrice Du Welz
Camping Cosmos|1996|Jan Bucquoy
Captain Ron|1992|Thom Eberhardt
Candy|1968|Christian Marquand
The Candy Snatchers|1973|Guerdon Trueblood
Cannibal! The Musical|1993|Trey Parker
Cannibal Holocaust|1980|Ruggero Deodato
Can't Hardly Wait|1998|Deborah Kaplan and Harry Elfont
Can't Stop the Music|1980|Nancy Walker
Captain Kronos – Vampire Hunter|1974|Brian Clemens
Car Wash|1976|Michael Schultz
Careful|1992|Guy Maddin
Carlito's Way|1993|Brian De Palma
Carnal Knowledge|1971|Mike Nichols
Carnival of Souls|1962|Herk Harvey
Carnosaur|1993|Adam Simon
Carny|1980|Robert Kaylor
Carrie|1976|Brian De Palma
Carry On Nurse|1959|Gerald Thomas
Casablanca|1942|Michael Curtiz
