Over the Edge|1979|Jonathan Kaplan
Overboard|1987|Garry Marshall
Pandorum|2009|Christian Alvart
The Parallax View|1974|Alan J. Pakula
Les Parapluies de Cherbourg|1964|Jacques Demy
Paris, Texas|1984|Wim Wenders
Parlez-nous d'amour|1976|Jean-Claude Lord
The Party|1968|Blake Edwards
Party Monster|2003|Fenton Bailey and Randy Barbato
Pásla kone na Betóne|1982|Štefan Uher
En Passion|1969|Ingmar Bergman
Pat Garrett and Billy the Kid|1973|Sam Peckinpah
Patrick|1978|Richard Franklin
Paul|2011|Greg Mottola
Peeping Tom|1960|Michael Powell
Pee-wee's Big Adventure|1985|Tim Burton
Pepi, Luci, Bom|1980|Pedro Almodóvar
The People Under the Stairs|1991|Wes Craven
Per Qualche Dollaro In Piú|1965|Sergio Leone
Per Un Pugno Di Dollari|1964|Sergio Leone
Le Père Noël est une Ordure|1982|Jean-Marie Poiré
Performance|1970|Donald Cammell and Nicolas Roeg
Le Péril Jeune|1994|Cédric Klapisch
Persona|1966|Ingmar Bergman
Petulia|1968|Richard Lester
Phantasm|1979|Don Coscarelli
The Phantom|1996|Simon Wincer
Phantom of the Paradise|1974|Brian De Palma
Phase IV|1974|Saul Bass
Pi|1998|Darren Aronofsky
Pickup on South Street|1953|Samuel Fuller
Picnic at Hanging Rock|1975|Peter Weir
Pieces|1982|Juan Piquer Simón
The Pillow Book|1996|Peter Greenaway
Pineapple Express|2008|David Gordon Green
Pink Flamingos|1972|John Waters
Pink Floyd – The Wall|1982|Alan Parker
Piranha|1978|Joe Dante
Plan 9 from Outer Space|1959|Ed Wood
Planet of the Apes|1968|Franklin J. Schaffner
La Planète Sauvage|1973|René Laloux
Playtime|1967|Jacques Tati
Point Blank|1967|John Boorman
Point Break|1991|Kathryn Bigelow
Police Academy|1984|Hugh Wilson
Polyester|1981|John Waters
Pool of London|1951|Basil Dearden
Pootie Tang|2001|Louis C.K.
Popeye|1980|Robert Altman
Popstar: Never Stop Never Stopping|2016|Akiva Schaffer and Jorma Taccone
Porky's|1981|Bob Clark
Il Portiere di Notte|1974|Liliana Cavani
The Poseidon Adventure|1972|Ronald Neame
Possession|1981|Andrzej Żuławski
Poultrygeist: Night of the Chicken Dead|2006|Lloyd Kaufman
Les Poupées Russes|2005|Cédric Klapisch
Preaching to the Perverted|1997|Stuart Urban
The President's Analyst|1967|Theodore J. Flicker
Pretty Baby|1978|Louis Malle
Pretty in Pink|1986|Howard Deutch
Pretty Maids All in a Row|1971|Roger Vadim
Pretty Poison|1968|Noel Black
Prime Cut|1972|Michael Ritchie
Primer|2004|Shane Carruth
The Princess Bride|1987|Rob Reiner
Private Parts|1997|Betty Thomas
Privilege|1967|Peter Watkins
The Producers|1967|Mel Brooks
Profondo rosso|1975|Dario Argento
The Projectionist|1970|Harry Hurwitz and Chuck McCann
The Proposition|2005|John Hillcoat
Przypadek|1987|Krzysztof Kieślowski
Psy|1992|Władysław Pasikowski
Pulgasari|1985|Shin Sang-ok
Pulp Fiction|1994|Quentin Tarantino
Pumping Iron|1977|Robert Fiore and George Butler
Pumpkin|2002|Anthony Abrams and Adam Larson Broder
Pumpkinhead|1988|Stan Winston
Pump Up the Volume|1990|Allan Moyle
Punch-Drunk Love|2002|Paul Thomas Anderson
Puppet Master|1989|David Schmoeller
Purple Rain|1984|Albert Magnoli
Pusher|1996|Nicolas Winding Refn
With Blood on My Hands: Pusher II|2004|Nicolas Winding Refn
I'm the Angel of Death: Pusher III|2005|Nicolas Winding Refn
Putney Swope|1969|Robert Downey, Sr.
Q|1982|Larry Cohen
Quadrophenia|1979|Franc Roddam
Quasi at the Quackadero|1976|Sally Cruikshank
Quatermass and the Pit|1967|Roy Ward Baker
¿Qué He Hecho Yo para Merecer Esto?|1984|Pedro Almodóvar
Queen Christina|1933|Rouben Mamoulian
Queen of Outer Space|1958|Edward Bernds
Queimada!|1969|Gillo Pontecorvo
The Quiet Earth|1985|Geoff Murphy
The Quiet Man|1952|John Ford
Qui Êtes-Vous, Polly Maggoo?|1966|William Klein
Quick Change|1990|Howard Franklin and Bill Murray
Rabbit of Seville|1950|Chuck Jones
Rad|1986|Hal Needham
The Raid: Redemption|2011|Gareth Evans
The Rain People|1969|Francis Ford Coppola
Raising Arizona|1987|The Coen Brothers
The Rapture|1991|Michael Tolkin
Ravenous|1999|Antonia Bird
Razorback|1984|Russell Mulcahy
Real Genius|1985|Martha Coolidge
Reality Bites|1994|Ben Stiller
Re-Animator|1985|Stuart Gordon
Remake|2003|Dino Mustafić
Rembètiko|1983|Costas Ferris
REC|2007|Jaume Balagueró and Paco Plaza
Red Dawn|1984|John Milius
Red Hot Riding Hood|1943|Tex Avery
The Red Shoes|1948|Michael Powell and Emeric Pressburger
Reefer Madness|1936|Louis J. Gasnier
Rejs|1970|Marek Piwowski
Rękopis Znaleziony w Saragossie|1965|Wojciech Has
Repo! The Genetic Opera|2008|Darren Lynn Bousman
Repo Man|1984|Alex Cox
Reptilicus|1961|Poul Bang
Requiem for a Dream|2000|Darren Aronofsky
Reservoir Dogs|1992|Quentin Tarantino
Restless Natives|1985|Michael Hoffman
The Return of the Living Dead|1985|Dan O'Bannon
Return of the Secaucus 7|1980|John Sayles
Return to Oz|1985|Walter Murch
Revenge of the Nerds|1984|Jeff Kanew
Revolver|2005|Guy Ritchie
Ride the High Country|1962|Sam Peckinpah
Riki-Oh: The Story of Ricky|1991|Lam Ngai Kai
Ringu|1998|Hideo Nakata
Rio Bravo|1959|Howard Hawks
Rita, Sue and Bob Too|1987|Alan Clarke
The Ritz|1976|Richard Lester
River's Edge|1986|Tim Hunter
Roadgames|1981|Richard Franklin
Road House|1989|Rowdy Herrington
Robin Hood: Men in Tights|1993|Mel Brooks
Robinson Crusoe on Mars|1964|Byron Haskin
RoboCop|1987|Paul Verhoeven
Robot Monster|1953|Phil Tucker
Rock & Rule|1983|Clive A. Smith
Rock 'n' Roll High School|1979|Allan Arkush
Rocker|1972|Klaus Lemke
Rockers|1978|Theodoros Bafaloukos
The Rocky Horror Picture Show|1975|Jim Sharman
Roger & Me|1989|Michael Moore
Le Roi de Coeur|1966|Philippe de Broca
Rok Ďábla|2002|Petr Zelenka
Romanzo Criminale|2005|Michele Placido
Romy and Michele's High School Reunion|1997|David Mirkin
The Room|2003|Tommy Wiseau
Rosemary's Baby|1968|Roman Polanski
Rosencrantz and Guildenstern are Dead|1990|Tom Stoppard
Rounders|1998|John Dahl
The Royal Tenenbaums|2001|Wes Anderson
Ruby Gentry|1952|King Vidor
Rude Boy|1980|Jack Hazan and David Mingay
The Rules of Attraction|2002|Roger Avary
The Ruling Class|1972|Peter Medak
Rumble Fish|1983|Francis Ford Coppola
Runaway Nightmare|1982|Mike Cartel
The Running Man|1987|Paul Michael Glaser
Rushmore|1998|Wes Anderson
Russian Ark|2002|Alexander Sokurov
The Rutles: All You Need Is Cash|1978|Eric Idle, Gary Weis
Le Salaire de la Peur|1953|Henri-Georges Clouzot
Salò o le 120 Giornate di Sodoma|1975|Pier Paolo Pasolini
Salt of the Earth|1954|Herbert J. Biberman
Sami Swoi|1967|Sylwester Chęciński
Samurai Cop|1991|Amir Shervan
Sankofa|1993|Haile Gerima
The Sandlot|1993|David M. Evans
Santa Claus Conquers the Martians|1964|Nicholas Webster
Santa Sangre|1989|Alejandro Jodorowsky
Sátántangó|1994|Béla Tarr
The Savage Innocents|1960|Nicholas Ray
Say Anything...|1989|Cameron Crowe
A Scanner Darkly|2006|Richard Linklater
Scanners|1981|David Cronenberg
Scarface|1983|Brian De Palma
The Scarlet Empress|1934|Josef von Sternberg
Schizopolis|1996|Steven Soderbergh
La Science des Rêves|2006|Michel Gondry
Scorpio Rising|1963|Kenneth Anger
Scott Pilgrim vs. the World|2010|Edgar Wright
Scream|1996|Wes Craven
Scum|1979|Alan Clarke
The Searchers|1956|John Ford
Seconds|1966|John Frankenheimer
The Secret of NIMH|1982|Don Bluth
Secretary|2002|Steven Shainberg
Se sei vivo spara|1967|Giulio Questi
Sedmikrásky|1966|Věra Chytilová
Sei Donne per l'Assassino|1964|Mario Bava
Seksmisja|1984|Juliusz Machulski
Sennen Joyu|2001|Satoshi Kon
Serenity|2005|Joss Whedon
Serial Mom|1994|John Waters
Series 7: The Contenders|2001|Daniel Minahan
Session 9|2001|Brad Anderson
Seven Servants|1996|Daryush Shokof
Sextette|1977|Ken Hughes
Sexy Beast|2000|Jonathan Glazer
Shadows|1959|John Cassavetes
